UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
11,7,1131,22,7,162,"1,065",5,20416,2017-01-22,32467,31703,524,NK,FLL,"Fort Lauderdale, FL",FL,EWR,"Newark, NJ",NJ,,16
12,5,1030,14,12,167,930,4,19790,2017-01-20,31650,31057,2143,DL,MSP,"Minneapolis, MN",MN,CLT,"Charlotte, NC",NC,,4
13,5,519,16,5,40,69,1,20304,2017-01-20,30333,34150,7369,OO,APN,"Alpena, MI",MI,PLN,"Pellston, MI",MI,,276
14,1,905,17,7,62,196,1,20366,2017-01-09,30977,31003,3990,EV,ORD,"Chicago, IL",IL,CID,"Cedar Rapids/Iowa City, IA",IA,,7
16,7,750,12,41,241,"1,488",6,19805,2017-01-29,32337,30466,404,AA,IND,"Indianapolis, IN",IN,PHX,"Phoenix, AZ",AZ,,-20
17,6,1747,5,4,35,68,1,20409,2017-01-14,34945,34819,2035,B6,STT,"Charlotte Amalie, VI",VI,SJU,"San Juan, PR",PR,,13
18,2,700,21,3,371,"2,603",11,19930,2017-01-31,34057,32134,833,AS,PDX,"Portland, OR",OR,HNL,"Honolulu, HI",HI,,-9
19,2,1100,16,15,81,235,1,20304,2017-01-17,31295,30977,2889,OO,DTW,"Detroit, MI",MI,ORD,"Chicago, IL",IL,,0
20,2,1604,13,6,66,236,1,19805,2017-01-10,32211,32575,1440,AA,LAS,"Las Vegas, NV",NV,LAX,"Los Angeles, CA",CA,,-25
21,1,755,12,5,110,623,3,19393,2017-01-09,30693,30194,309,WN,BNA,"Nashville, TN",TN,DAL,"Dallas, TX",TX,752,26
22,1,1950,23,33,108,337,2,19977,2017-01-30,32457,32575,222,UA,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,,0
25,1,1425,10,5,136,834,4,19393,2017-01-23,31454,30198,454,WN,MCO,"Orlando, FL",FL,PIT,"Pittsburgh, PA",PA,,-6
26,4,1935,14,10,89,440,2,19393,2017-01-19,31123,31295,4135,WN,STL,"St. Louis, MO",MO,DTW,"Detroit, MI",MI,,2
27,2,1600,15,10,363,"2,454",10,19977,2017-01-24,31703,32575,751,UA,EWR,"Newark, NJ",NJ,LAX,"Los Angeles, CA",CA,,-15
30,7,1756,10,3,132,899,4,20409,2017-01-15,32467,30852,2080,B6,FLL,"Fort Lauderdale, FL",FL,DCA,"Washington, DC",VA,,-8
31,7,1515,10,5,68,326,2,19393,2017-01-29,32575,32457,3323,WN,BUR,"Burbank, CA",CA,SFO,"San Francisco, CA",CA,,2
32,4,1345,26,7,81,198,1,20304,2017-01-12,30333,31295,7367,OO,APN,"Alpena, MI",MI,DTW,"Detroit, MI",MI,,11
34,2,1620,12,7,186,991,4,20436,2017-01-10,30325,34057,793,F9,DEN,"Denver, CO",CO,PDX,"Portland, OR",OR,,67
35,7,1229,18,15,199,"1,197",5,20436,2017-01-15,32467,30977,1311,F9,MIA,"Miami, FL",FL,ORD,"Chicago, IL",IL,,31
36,2,1132,11,3,103,639,3,19977,2017-01-17,30325,30436,471,UA,DEN,"Denver, CO",CO,TUS,"Tucson, AZ",AZ,,-24
37,2,1705,16,6,272,"1,919",8,19790,2017-01-31,30397,32575,2459,DL,ATL,"Atlanta, GA",GA,SNA,"Santa Ana, CA",CA,,-28
38,6,729,11,5,153,956,4,19930,2017-01-07,30559,32575,530,AS,SEA,"Seattle, WA",WA,ONT,"Ontario, CA",CA,,9
39,5,1305,21,4,354,"2,917",11,19690,2017-01-27,32134,30466,36,HA,HNL,"Honolulu, HI",HI,PHX,"Phoenix, AZ",AZ,,0
40,3,1628,13,5,246,"1,999",8,19805,2017-01-18,30466,30852,2275,AA,PHX,"Phoenix, AZ",AZ,BWI,"Baltimore, MD",MD,,-14
41,7,1335,16,11,132,679,3,20304,2017-01-29,30559,32457,4876,OO,SEA,"Seattle, WA",WA,SFO,"San Francisco, CA",CA,,-12
42,4,845,16,7,106,542,3,20366,2017-01-26,31453,30928,4296,EV,IAH,"Houston, TX",TX,ICT,"Wichita, KS",KS,,-9
43,4,1150,13,5,86,407,2,19393,2017-01-19,32211,32457,1793,WN,LAS,"Las Vegas, NV",NV,OAK,"Oakland, CA",CA,,7
44,1,625,13,4,155,861,4,19977,2017-01-23,31714,31453,527,UA,RSW,"Fort Myers, FL",FL,IAH,"Houston, TX",TX,,5
45,7,1501,33,4,93,238,1,20366,2017-01-22,30397,30731,5527,EV,ATL,"Atlanta, GA",GA,BQK,"Brunswick, GA",GA,,36
47,5,1230,14,6,114,481,2,19393,2017-01-27,34524,30397,158,WN,RIC,"Richmond, VA",VA,ATL,"Atlanta, GA",GA,,-3
48,4,1936,22,6,333,"2,092",9,19790,2017-01-05,30397,33192,736,DL,ATL,"Atlanta, GA",GA,SMF,"Sacramento, CA",CA,,30
49,4,1210,14,6,129,692,3,20304,2017-01-26,31003,30325,5363,OO,CID,"Cedar Rapids/Iowa City, IA",IA,DEN,"Denver, CO",CO,,-17
50,7,1207,8,14,106,500,3,19805,2017-01-01,31295,31057,443,AA,DTW,"Detroit, MI",MI,CLT,"Charlotte, NC",NC,,-17
51,5,1517,10,2,82,507,3,19790,2017-01-27,34614,30466,972,DL,SLC,"Salt Lake City, UT",UT,PHX,"Phoenix, AZ",AZ,,-23
52,5,1355,7,3,68,362,2,19393,2017-01-27,32457,32575,1793,WN,OAK,"Oakland, CA",CA,ONT,"Ontario, CA",CA,,7
53,4,1015,15,14,170,867,4,19805,2017-01-05,30721,30977,251,AA,BOS,"Boston, MA",MA,ORD,"Chicago, IL",IL,,-15
54,2,629,10,13,101,468,2,19805,2017-01-24,31454,31057,840,AA,MCO,"Orlando, FL",FL,CLT,"Charlotte, NC",NC,,-11
55,5,1735,17,3,75,296,2,20304,2017-01-06,31295,32945,4830,OO,DTW,"Detroit, MI",MI,LEX,"Lexington, KY",KY,,-7
56,4,1100,27,11,191,"1,085",5,19805,2017-01-05,31703,32467,1614,AA,EWR,"Newark, NJ",NJ,MIA,"Miami, FL",FL,,-7
57,1,1415,23,7,209,"1,546",7,20436,2017-01-16,30325,31454,686,F9,DEN,"Denver, CO",CO,MCO,"Orlando, FL",FL,,27
58,5,1645,33,11,102,337,2,20304,2017-01-20,32457,32575,4921,OO,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,,12
59,1,1620,14,7,216,"1,670",7,19805,2017-01-30,30466,31066,514,AA,PHX,"Phoenix, AZ",AZ,CMH,"Columbus, OH",OH,,-10
60,7,1214,12,5,68,304,2,20366,2017-01-29,30397,32945,5212,EV,ATL,"Atlanta, GA",GA,LEX,"Lexington, KY",KY,,-11
61,1,1525,11,4,77,533,3,19393,2017-01-23,30325,33198,596,WN,DEN,"Denver, CO",CO,MCI,"Kansas City, MO",MO,,-11
62,1,1455,10,6,118,749,3,19790,2017-01-30,30397,34576,1584,DL,ATL,"Atlanta, GA",GA,ROC,"Rochester, NY",NY,,174
63,1,500,35,5,80,237,1,19805,2017-01-23,34653,30194,1255,AA,TUL,"Tulsa, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,,6
64,4,1710,31,8,137,645,3,20366,2017-01-05,32337,31703,4170,EV,IND,"Indianapolis, IN",IN,EWR,"Newark, NJ",NJ,,30
66,5,1230,27,26,110,337,2,19977,2017-01-06,32457,32575,937,UA,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,,31
67,5,1255,18,4,250,"2,253",10,19977,2017-01-06,33570,30852,1590,UA,SAN,"San Diego, CA",CA,IAD,"Washington, DC",VA,,-44
68,7,1059,20,3,79,301,2,20409,2017-01-15,31703,30792,2402,B6,JFK,"New York, NY",NY,BUF,"Buffalo, NY",NY,,-4
69,3,1050,21,6,237,"1,440",6,19805,2017-01-04,30977,30466,2023,AA,ORD,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,,3
70,3,600,20,4,269,"2,402",10,19805,2017-01-11,32575,34100,700,AA,LAX,"Los Angeles, CA",CA,PHL,"Philadelphia, PA",PA,,-52
71,5,1600,16,12,372,"2,454",10,19977,2017-01-06,31703,32575,751,UA,EWR,"Newark, NJ",NJ,LAX,"Los Angeles, CA",CA,,1
72,4,1635,6,11,64,208,1,20366,2017-01-12,35550,30397,5295,EV,VLD,"Valdosta, GA",GA,ATL,"Atlanta, GA",GA,,-16
73,7,1605,7,9,157,"1,024",5,19393,2017-01-29,31454,31986,2711,WN,MCO,"Orlando, FL",FL,GRR,"Grand Rapids, MI",MI,,-12
74,7,1823,11,6,82,377,2,20366,2017-01-08,32323,30397,5106,EV,ILM,"Wilmington, NC",NC,ATL,"Atlanta, GA",GA,,1
75,2,625,33,6,107,328,2,20304,2017-01-03,30140,30466,3047,OO,ABQ,"Albuquerque, NM",NM,PHX,"Phoenix, AZ",AZ,,10
76,2,1735,14,39,184,783,4,20304,2017-01-24,30529,30977,5189,OO,BDL,"Hartford, CT",CT,ORD,"Chicago, IL",IL,,14
77,2,1255,11,4,107,501,3,19790,2017-01-31,34492,31295,2379,DL,RDU,"Raleigh/Durham, NC",NC,DTW,"Detroit, MI",MI,,-11
78,2,2133,29,4,123,645,3,19790,2017-01-03,30397,31721,1766,DL,ATL,"Atlanta, GA",GA,FNT,"Flint, MI",MI,,-1
81,7,1700,5,6,113,834,4,19393,2017-01-15,34057,32575,5018,WN,PDX,"Portland, OR",OR,LAX,"Los Angeles, CA",CA,,-19
82,4,1920,20,5,76,321,2,19790,2017-01-12,30397,33044,1240,DL,ATL,"Atlanta, GA",GA,SDF,"Louisville, KY",KY,,-11
83,7,1635,24,9,71,199,1,20366,2017-01-01,30852,31703,4372,EV,DCA,"Washington, DC",VA,EWR,"Newark, NJ",NJ,,-20
85,2,1840,11,4,51,181,1,19393,2017-01-10,30194,33851,910,WN,DAL,"Dallas, TX",TX,OKC,"Oklahoma City, OK",OK,,2
86,7,935,41,24,273,"1,589",7,19790,2017-01-29,31650,32457,996,DL,MSP,"Minneapolis, MN",MN,SFO,"San Francisco, CA",CA,,-7
87,3,820,11,9,71,237,1,19805,2017-01-04,34653,30194,1314,AA,TUL,"Tulsa, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,,-9
88,3,1710,8,11,103,639,3,19393,2017-01-04,30436,30325,6102,WN,TUS,"Tucson, AZ",AZ,DEN,"Denver, CO",CO,,54
89,3,1820,11,7,137,"1,055",5,19805,2017-01-11,32211,30194,618,AA,LAS,"Las Vegas, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,,-8
90,2,630,15,6,154,"1,034",5,19790,2017-01-24,31453,31650,945,DL,IAH,"Houston, TX",TX,MSP,"Minneapolis, MN",MN,,-24
91,1,1640,18,7,284,"2,475",10,20409,2017-01-09,32575,31703,1024,B6,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,,-4
92,7,1200,12,10,143,937,4,20409,2017-01-29,31454,31703,928,B6,MCO,"Orlando, FL",FL,EWR,"Newark, NJ",NJ,,-13
93,2,1115,16,13,99,466,2,20366,2017-01-24,33029,30977,4058,EV,LNK,"Lincoln, NE",NE,ORD,"Chicago, IL",IL,,-13
94,5,825,51,9,152,599,3,20304,2017-01-27,34614,32457,4481,OO,SLC,"Salt Lake City, UT",UT,SFO,"San Francisco, CA",CA,,-2
95,1,1400,12,6,75,184,1,19790,2017-01-02,30721,31703,2672,DL,BOS,"Boston, MA",MA,LGA,"New York, NY",NY,,-10
96,7,2035,39,4,82,241,1,19790,2017-01-15,31295,30792,1176,DL,DTW,"Detroit, MI",MI,BUF,"Buffalo, NY",NY,,7
97,1,830,23,7,356,"2,434",10,19977,2017-01-30,31703,32575,2012,UA,EWR,"Newark, NJ",NJ,SNA,"Santa Ana, CA",CA,,-9
98,5,1520,13,5,77,349,2,19393,2017-01-13,30325,30140,534,WN,DEN,"Denver, CO",CO,ABQ,"Albuquerque, NM",NM,,22
99,1,1150,31,5,92,304,2,19393,2017-01-09,30466,33570,1783,WN,PHX,"Phoenix, AZ",AZ,SAN,"San Diego, CA",CA,,10
100,1,750,10,7,39,100,1,19690,2017-01-30,32134,33830,306,HA,HNL,"Honolulu, HI",HI,OGG,"Kahului, HI",HI,,-7
101,5,1621,18,14,166,867,4,20409,2017-01-20,30721,30977,1011,B6,BOS,"Boston, MA",MA,ORD,"Chicago, IL",IL,,-20
103,2,550,41,5,168,838,4,19393,2017-01-24,30721,30977,694,WN,MHT,"Manchester, NH",NH,MDW,"Chicago, IL",IL,,16
104,5,700,40,6,190,994,4,20409,2017-01-06,30198,32467,2007,B6,PIT,"Pittsburgh, PA",PA,FLL,"Fort Lauderdale, FL",FL,,7
105,4,1800,16,6,121,651,3,19805,2017-01-12,30466,32457,686,AA,PHX,"Phoenix, AZ",AZ,SFO,"San Francisco, CA",CA,,1
109,6,755,12,5,142,828,4,20409,2017-01-21,31703,31136,677,B6,JFK,"New York, NY",NY,JAX,"Jacksonville, FL",FL,,-25
110,1,1025,9,4,96,588,3,20409,2017-01-30,34614,32575,1631,B6,SLC,"Salt Lake City, UT",UT,LGB,"Long Beach, CA",CA,,-15
111,7,1402,25,6,82,296,2,20304,2017-01-08,34576,31295,4629,OO,ROC,"Rochester, NY",NY,DTW,"Detroit, MI",MI,,-16
112,4,2032,8,7,36,102,1,19690,2017-01-26,32982,32134,224,HA,LIH,"Lihue, HI",HI,HNL,"Honolulu, HI",HI,,13
113,1,630,22,6,84,310,2,20366,2017-01-09,30852,30647,4004,EV,DCA,"Washington, DC",VA,CLE,"Cleveland, OH",OH,,-6
114,4,829,17,21,312,"2,556",11,19977,2017-01-05,32134,32575,1231,UA,HNL,"Honolulu, HI",HI,LAX,"Los Angeles, CA",CA,,-13
115,1,1705,23,7,239,"1,440",6,19977,2017-01-09,30977,30466,1603,UA,ORD,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,,6
116,6,1140,21,3,157,954,4,19930,2017-01-07,32211,30666,649,AS,LAS,"Las Vegas, NV",NV,BLI,"Bellingham, WA",WA,,-17
117,7,945,38,37,333,"2,227",9,19977,2017-01-22,32211,31703,524,UA,LAS,"Las Vegas, NV",NV,EWR,"Newark, NJ",NJ,,161
118,5,729,14,7,144,746,3,19977,2017-01-27,31703,30397,475,UA,EWR,"Newark, NJ",NJ,ATL,"Atlanta, GA",GA,,-23
119,6,855,17,8,76,259,2,19790,2017-01-28,30994,30397,2252,DL,CHS,"Charleston, SC",SC,ATL,"Atlanta, GA",GA,,-5
120,3,810,10,6,55,214,1,19790,2017-01-25,30397,30693,2421,DL,ATL,"Atlanta, GA",GA,BNA,"Nashville, TN",TN,,-13
121,2,1620,11,5,59,255,2,19393,2017-01-03,32211,30466,573,WN,LAS,"Las Vegas, NV",NV,PHX,"Phoenix, AZ",AZ,,15
122,4,945,11,3,180,"1,670",7,19805,2017-01-05,32575,33495,2580,AA,LAX,"Los Angeles, CA",CA,MSY,"New Orleans, LA",LA,,-46
123,5,905,56,13,190,911,4,20304,2017-01-27,30977,30189,5943,OO,ORD,"Chicago, IL",IL,COS,"Colorado Springs, CO",CO,,12
124,1,1545,32,4,290,"1,546",7,19977,2017-01-02,31454,30325,257,UA,MCO,"Orlando, FL",FL,DEN,"Denver, CO",CO,,38
125,7,1705,17,3,135,803,4,20366,2017-01-01,30397,31982,5303,EV,ATL,"Atlanta, GA",GA,GRK,"Killeen, TX",TX,,31
126,7,1610,11,7,93,494,2,19393,2017-01-15,33495,33214,3785,WN,MSY,"New Orleans, LA",LA,SAT,"San Antonio, TX",TX,,-11
127,3,955,7,8,112,594,3,19393,2017-01-25,31295,30397,1144,WN,DTW,"Detroit, MI",MI,ATL,"Atlanta, GA",GA,,-14
128,1,1100,13,8,201,"1,546",7,19977,2017-01-30,30325,31454,564,UA,DEN,"Denver, CO",CO,MCO,"Orlando, FL",FL,,-15
129,7,605,15,6,201,"1,448",6,19930,2017-01-29,30299,30559,88,AS,ANC,"Anchorage, AK",AK,SEA,"Seattle, WA",WA,,-17
130,3,939,12,7,165,"1,085",5,19805,2017-01-18,32467,31703,1078,AA,MIA,"Miami, FL",FL,EWR,"Newark, NJ",NJ,,-24
131,3,1830,10,10,108,630,3,19790,2017-01-04,34057,34614,1983,DL,PDX,"Portland, OR",OR,SLC,"Salt Lake City, UT",UT,,-7
133,3,1730,15,8,142,834,4,19930,2017-01-25,32575,34057,421,AS,LAX,"Los Angeles, CA",CA,PDX,"Portland, OR",OR,,-20
134,4,1605,7,8,174,"1,050",5,19393,2017-01-05,30529,31454,4709,WN,BDL,"Hartford, CT",CT,MCO,"Orlando, FL",FL,,10
135,5,1101,12,11,74,341,2,19790,2017-01-27,32448,30397,2408,DL,JAN,"Jackson/Vicksburg, MS",MS,ATL,"Atlanta, GA",GA,,-12
136,2,1420,7,5,61,319,2,19393,2017-01-03,33158,30194,1304,WN,MAF,"Midland/Odessa, TX",TX,DAL,"Dallas, TX",TX,,-7
137,6,1533,14,4,54,204,1,19805,2017-01-14,32467,33195,1113,AA,MIA,"Miami, FL",FL,TPA,"Tampa, FL",FL,,-15
138,3,2230,13,4,129,696,3,19393,2017-01-04,30397,31453,2604,WN,ATL,"Atlanta, GA",GA,HOU,"Houston, TX",TX,,-11
139,1,1510,15,4,85,397,2,19393,2017-01-23,32211,33192,1224,WN,LAS,"Las Vegas, NV",NV,SMF,"Sacramento, CA",CA,,92
140,1,700,18,2,122,622,3,20366,2017-01-02,30647,31650,5383,EV,CLE,"Cleveland, OH",OH,MSP,"Minneapolis, MN",MN,,-23
141,2,2010,7,5,82,409,2,19393,2017-01-31,31066,31123,1983,WN,CMH,"Columbus, OH",OH,STL,"St. Louis, MO",MO,,-19
142,5,1945,12,4,237,"1,751",8,19393,2017-01-20,30977,34057,2805,WN,MDW,"Chicago, IL",IL,PDX,"Portland, OR",OR,,-48
143,7,1442,25,7,54,110,1,20304,2017-01-08,30466,30436,3029,OO,PHX,"Phoenix, AZ",AZ,TUS,"Tucson, AZ",AZ,,-8
144,5,815,15,13,133,888,4,19977,2017-01-13,30325,30977,682,UA,DEN,"Denver, CO",CO,ORD,"Chicago, IL",IL,,-21
145,1,845,57,6,123,456,2,19790,2017-01-30,31295,30693,1885,DL,DTW,"Detroit, MI",MI,BNA,"Nashville, TN",TN,,-2
146,6,1100,15,9,52,122,1,20366,2017-01-21,30469,30977,4190,EV,AZO,"Kalamazoo, MI",MI,ORD,"Chicago, IL",IL,,-7
147,2,1000,15,10,176,"1,337",6,19977,2017-01-31,30325,31057,1711,UA,DEN,"Denver, CO",CO,CLT,"Charlotte, NC",NC,,-24
148,5,1035,7,8,173,"1,024",5,19393,2017-01-13,33044,30325,1540,WN,SDF,"Louisville, KY",KY,DEN,"Denver, CO",CO,,-6
149,5,749,18,5,51,129,1,20304,2017-01-13,30559,34057,4711,OO,SEA,"Seattle, WA",WA,PDX,"Portland, OR",OR,,-27
150,5,1745,10,8,153,"1,124",5,19790,2017-01-06,31650,30721,2062,DL,MSP,"Minneapolis, MN",MN,BOS,"Boston, MA",MA,,-7
152,6,1615,44,11,178,731,3,19790,2017-01-21,30397,30194,177,DL,ATL,"Atlanta, GA",GA,DFW,"Dallas/Fort Worth, TX",TX,,48
153,2,1005,14,2,73,356,2,19790,2017-01-03,30397,34492,822,DL,ATL,"Atlanta, GA",GA,RDU,"Raleigh/Durham, NC",NC,,-9
154,4,1925,17,5,156,909,4,19393,2017-01-05,30325,33192,1445,WN,DEN,"Denver, CO",CO,SMF,"Sacramento, CA",CA,,79
155,4,920,14,11,108,569,3,19393,2017-01-19,32457,34057,1380,WN,SJC,"San Jose, CA",CA,PDX,"Portland, OR",OR,,0
156,6,1600,10,5,207,"1,389",6,19805,2017-01-28,31703,30194,2525,AA,LGA,"New York, NY",NY,DFW,"Dallas/Fort Worth, TX",TX,,-28
158,1,1310,17,6,154,868,4,19805,2017-01-16,30194,30466,575,AA,DFW,"Dallas/Fort Worth, TX",TX,PHX,"Phoenix, AZ",AZ,,-3
159,2,1315,10,5,200,"1,430",6,19805,2017-01-17,30423,34100,2093,AA,AUS,"Austin, TX",TX,PHL,"Philadelphia, PA",PA,,4
160,4,1755,18,8,168,"1,065",5,20409,2017-01-26,32467,31703,6,B6,FLL,"Fort Lauderdale, FL",FL,EWR,"Newark, NJ",NJ,,-10
161,4,825,12,6,61,272,2,19393,2017-01-26,31123,30693,117,WN,STL,"St. Louis, MO",MO,BNA,"Nashville, TN",TN,,-7
162,5,1605,10,7,163,937,4,19393,2017-01-06,30977,31453,301,WN,MDW,"Chicago, IL",IL,HOU,"Houston, TX",TX,,3
164,4,1740,33,7,108,370,2,20304,2017-01-19,30466,32575,4885,OO,PHX,"Phoenix, AZ",AZ,LAX,"Los Angeles, CA",CA,,6
165,7,1555,10,8,129,862,4,20416,2017-01-29,30325,31453,906,NK,DEN,"Denver, CO",CO,IAH,"Houston, TX",TX,,-17
166,4,949,16,3,49,125,1,20304,2017-01-26,30325,30372,5343,OO,DEN,"Denver, CO",CO,ASE,"Aspen, CO",CO,,-2
169,5,600,12,10,124,633,3,20366,2017-01-20,33367,30397,5310,EV,MLI,"Moline, IL",IL,ATL,"Atlanta, GA",GA,,0
170,5,730,18,6,144,946,4,19790,2017-01-13,30397,30721,104,DL,ATL,"Atlanta, GA",GA,BOS,"Boston, MA",MA,,0
171,7,1610,24,15,184,"1,205",5,19805,2017-01-01,32575,30194,2548,AA,SNA,"Santa Ana, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,,12
172,4,640,22,12,112,550,3,21171,2017-01-05,34057,32457,22,VX,PDX,"Portland, OR",OR,SFO,"San Francisco, CA",CA,,11
173,6,2050,23,5,105,611,3,19393,2017-01-28,30977,30852,5585,WN,MDW,"Chicago, IL",IL,BWI,"Baltimore, MD",MD,,4
174,2,753,13,15,277,"1,709",7,19977,2017-01-03,32467,30325,1253,UA,MIA,"Miami, FL",FL,DEN,"Denver, CO",CO,,58
175,2,1634,10,10,87,551,3,20366,2017-01-10,34674,30194,2762,EV,SAF,"Santa Fe, NM",NM,DFW,"Dallas/Fort Worth, TX",TX,,-30
176,2,733,10,3,59,270,2,19790,2017-01-24,30397,31136,2098,DL,ATL,"Atlanta, GA",GA,JAX,"Jacksonville, FL",FL,,9
178,3,1610,8,4,86,402,2,19393,2017-01-25,30198,30977,1397,WN,PIT,"Pittsburgh, PA",PA,MDW,"Chicago, IL",IL,,-9
179,1,2100,15,6,70,258,2,19393,2017-01-23,32211,33570,4609,WN,LAS,"Las Vegas, NV",NV,SAN,"San Diego, CA",CA,,10
180,4,1927,15,6,163,"1,065",5,20409,2017-01-19,32467,31703,506,B6,FLL,"Fort Lauderdale, FL",FL,EWR,"Newark, NJ",NJ,,-12
181,5,745,18,7,197,"1,121",5,19790,2017-01-27,30721,31454,2102,DL,BOS,"Boston, MA",MA,MCO,"Orlando, FL",FL,,-17
182,3,1950,13,3,77,417,2,19393,2017-01-04,32457,33570,2144,WN,SJC,"San Jose, CA",CA,SAN,"San Diego, CA",CA,,88
183,4,800,16,4,102,427,2,20409,2017-01-26,31703,34492,885,B6,JFK,"New York, NY",NY,RDU,"Raleigh/Durham, NC",NC,,-9
184,2,640,26,4,130,735,3,19805,2017-01-03,30713,30466,418,AA,BOI,"Boise, ID",ID,PHX,"Phoenix, AZ",AZ,,4
185,7,900,12,5,87,460,2,19393,2017-01-29,30194,33198,4203,WN,DAL,"Dallas, TX",TX,MCI,"Kansas City, MO",MO,,-5
186,2,1959,22,8,71,226,1,19790,2017-01-31,30397,31057,1667,DL,ATL,"Atlanta, GA",GA,CLT,"Charlotte, NC",NC,,-4
187,7,701,19,19,149,964,4,19805,2017-01-08,31453,32467,2309,AA,IAH,"Houston, TX",TX,MIA,"Miami, FL",FL,,5
188,1,810,20,13,161,740,3,20409,2017-01-09,31703,30977,905,B6,JFK,"New York, NY",NY,ORD,"Chicago, IL",IL,904,69
189,1,1330,12,5,202,"1,199",5,19393,2017-01-23,30397,30325,596,WN,ATL,"Atlanta, GA",GA,DEN,"Denver, CO",CO,,2
190,5,835,13,4,287,"2,335",10,19930,2017-01-27,30559,30852,718,AS,SEA,"Seattle, WA",WA,BWI,"Baltimore, MD",MD,,-1
191,6,915,25,23,273,"2,139",9,19790,2017-01-21,32457,30397,1880,DL,SFO,"San Francisco, CA",CA,ATL,"Atlanta, GA",GA,,-15
192,3,1045,8,15,63,247,1,19805,2017-01-25,33214,30194,1213,AA,SAT,"San Antonio, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,,-7
193,4,2040,56,5,108,268,2,19805,2017-01-05,34100,30198,1984,AA,PHL,"Philadelphia, PA",PA,PIT,"Pittsburgh, PA",PA,,30
194,1,1425,22,6,135,787,4,20409,2017-01-02,31454,30852,1212,B6,MCO,"Orlando, FL",FL,BWI,"Baltimore, MD",MD,,1
195,6,1430,13,6,95,484,2,19790,2017-01-21,30397,31123,1199,DL,ATL,"Atlanta, GA",GA,STL,"St. Louis, MO",MO,,73
197,7,1355,11,3,149,899,4,19805,2017-01-15,30852,32467,1880,AA,DCA,"Washington, DC",VA,FLL,"Fort Lauderdale, FL",FL,,-7
198,6,1825,19,10,271,"1,744",7,19805,2017-01-07,30977,32575,2225,AA,ORD,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,,-12
200,2,2002,18,9,211,"1,103",5,19805,2017-01-31,32467,30423,2424,AA,MIA,"Miami, FL",FL,AUS,"Austin, TX",TX,,7
